7  | -0.008269 | 0.000000  | 0.036483 | 0.027565 | 1.32 
8  | -0.008269 | 0.000000  | 0.050916 | 0.037519 | 1.36 
9  | -0.008269 | 0.000000  | 0.067754 | 0.049004 | 1.38 
10 | -0.008269 | 0.000000  | 0.086998 | 0.062020 | 1.40 
2  | 0.000000  | 0.012461  | 0.000604 | 0.001154 | 0.52 
3  | 0.000000  | 0.012461  | 0.004229 | 0.004615 | 0.92 
4  | 0.000000  | 0.012461  | 0.011478 | 0.010384 | 1.11 
5  | 0.000000  | 0.012461  | 0.022353 | 0.018461 | 1.21 
6  | 0.000000  | 0.012461  | 0.036852 | 0.028845 | 1.28 
7  | 0.000000  | 0.012461  | 0.054975 | 0.041537 | 1.32 
8  | 0.000000  | 0.012461  | 0.076724 | 0.056536 | 1.36 
9  | 0.000000  | 0.012461  | 0.102097 | 0.073843 | 1.38 
10 | 0.000000  | 0.012461  | 0.131095 | 0.093457 | 1.40 
2  | 0.027126  | 0.010897  | 0.180000 | 0.132516 | 1.36 
3  | 0.027126  | 0.010897  | 0.239110 | 0.172818 | 1.38 
4  | 0.027126  | 0.010897  | 0.306612 | 0.218463 | 1.40 
5  | 0.027126  | 0.010897  | 0.382506 | 0.269450 | 1.42 
6  | 0.027126  | 0.010897  | 0.466794 | 0.325781 | 1.43 
7  | 0.027126  | 0.010897  | 0.559474 | 0.387454 | 1.44 
8  | 0.027126  | 0.010897  | 0.660546 | 0.454470 | 1.45 
9  | 0.027126  | 0.010897  | 0.770011 | 0.526829 | 1.46 
10 | 0.027126  | 0.010897  | 0.887868 | 0.604531 | 1.47 
2  | 0.000000  | 0.020526  | 0.003317 | 0.006335 | 0.52 
3  | 0.000000  | 0.020526  | 0.023220 | 0.025341 | 0.92 
4  | 0.000000  | 0.020526  | 0.063025 | 0.057017 | 1.11 
5  | 0.000000  | 0.020526  | 0.122732 | 0.101363 | 1.21 
6  | 0.000000  | 0.020526  | 0.202343 | 0.158380 | 1.28 
7  | 0.000000  | 0.020526  | 0.301855 | 0.228067 | 1.32 
8  | 0.000000  | 0.020526  | 0.421271 | 0.310424 | 1.36 
9  | 0.000000  | 0.020526  | 0.560588 | 0.405452 | 1.38 
10 | 0.000000  | 0.020526  | 0.719809 | 0.513150 | 1.40 
2  | 0.020526  | 0.014685  | 1.514861 | 1.006384 | 1.51 
3  | 0.020526  | 0.014685  | 1.648675 | 1.093376 | 1.51 
4  | 0.020526  | 0.014685  | 1.788153 | 1.183973 | 1.51 
5  | 0.020526  | 0.014685  | 1.933295 | 1.278176 | 1.51 
6  | 0.020526  | 0.014685  | 2.084100 | 1.375984 | 1.51 
7  | 0.020526  | 0.014685  | 2.240569 | 1.477398 | 1.52 
8  | 0.020526  | 0.014685  | 2.402701 | 1.582417 | 1.52 
9  | 0.020526  | 0.014685  | 2.570497 | 1.691042 | 1.52 
10 | 0.020526  | 0.014685  | 2.743957 | 1.803273 | 1.52 
2  | 0.008411  | 0.000000  | 0.000408 | 0.000779 | 0.52 
3  | 0.008411  | 0.000000  | 0.002854 | 0.003115 | 0.92 
4  | 0.008411  | 0.000000  | 0.007747 | 0.007009 | 1.11 
5  | 0.008411  | 0.000000  | 0.015087 | 0.012460 | 1.21 
6  | 0.008411  | 0.000000  | 0.024873 | 0.019469 | 1.28 
7  | 0.008411  | 0.000000  | 0.037106 | 0.028035 | 1.32 
8  | 0.008411  | 0.000000  | 0.051785 | 0.038159 | 1.36 
9  | 0.008411  | 0.000000  | 0.068911 | 0.049841 | 1.38 
10 | 0.008411  | 0.000000  | 0.088483 | 0.063080 | 1.40 
2  | 0.000000  | -0.021400 | 0.001038 | 0.001981 | 0.52 
